@RELATION HEA_M0_LHipAngles_X

@ATTRIBUTE t0 NUMERIC
@ATTRIBUTE t1 NUMERIC
@ATTRIBUTE t2 NUMERIC
@ATTRIBUTE t3 NUMERIC
@ATTRIBUTE t4 NUMERIC
@ATTRIBUTE t5 NUMERIC
@ATTRIBUTE t6 NUMERIC
@ATTRIBUTE t7 NUMERIC
@ATTRIBUTE t8 NUMERIC
@ATTRIBUTE t9 NUMERIC
@ATTRIBUTE t10 NUMERIC
@ATTRIBUTE t11 NUMERIC
@ATTRIBUTE t12 NUMERIC
@ATTRIBUTE t13 NUMERIC
@ATTRIBUTE t14 NUMERIC
@ATTRIBUTE t15 NUMERIC
@ATTRIBUTE t16 NUMERIC
@ATTRIBUTE t17 NUMERIC
@ATTRIBUTE t18 NUMERIC
@ATTRIBUTE t19 NUMERIC
@ATTRIBUTE t20 NUMERIC
@ATTRIBUTE t21 NUMERIC
@ATTRIBUTE t22 NUMERIC
@ATTRIBUTE t23 NUMERIC
@ATTRIBUTE t24 NUMERIC
@ATTRIBUTE t25 NUMERIC
@ATTRIBUTE t26 NUMERIC
@ATTRIBUTE t27 NUMERIC
@ATTRIBUTE t28 NUMERIC
@ATTRIBUTE t29 NUMERIC
@ATTRIBUTE t30 NUMERIC
@ATTRIBUTE t31 NUMERIC
@ATTRIBUTE t32 NUMERIC
@ATTRIBUTE t33 NUMERIC
@ATTRIBUTE t34 NUMERIC
@ATTRIBUTE t35 NUMERIC
@ATTRIBUTE t36 NUMERIC
@ATTRIBUTE t37 NUMERIC
@ATTRIBUTE t38 NUMERIC
@ATTRIBUTE t39 NUMERIC
@ATTRIBUTE t40 NUMERIC
@ATTRIBUTE t41 NUMERIC
@ATTRIBUTE t42 NUMERIC
@ATTRIBUTE t43 NUMERIC
@ATTRIBUTE t44 NUMERIC
@ATTRIBUTE t45 NUMERIC
@ATTRIBUTE t46 NUMERIC
@ATTRIBUTE t47 NUMERIC
@ATTRIBUTE t48 NUMERIC
@ATTRIBUTE t49 NUMERIC
@ATTRIBUTE t50 NUMERIC
@ATTRIBUTE t51 NUMERIC
@ATTRIBUTE t52 NUMERIC
@ATTRIBUTE t53 NUMERIC
@ATTRIBUTE t54 NUMERIC
@ATTRIBUTE t55 NUMERIC
@ATTRIBUTE t56 NUMERIC
@ATTRIBUTE t57 NUMERIC
@ATTRIBUTE t58 NUMERIC
@ATTRIBUTE t59 NUMERIC
@ATTRIBUTE t60 NUMERIC
@ATTRIBUTE t61 NUMERIC
@ATTRIBUTE t62 NUMERIC
@ATTRIBUTE t63 NUMERIC
@ATTRIBUTE t64 NUMERIC
@ATTRIBUTE t65 NUMERIC
@ATTRIBUTE t66 NUMERIC
@ATTRIBUTE t67 NUMERIC
@ATTRIBUTE t68 NUMERIC
@ATTRIBUTE t69 NUMERIC
@ATTRIBUTE t70 NUMERIC
@ATTRIBUTE t71 NUMERIC
@ATTRIBUTE t72 NUMERIC
@ATTRIBUTE t73 NUMERIC
@ATTRIBUTE t74 NUMERIC
@ATTRIBUTE t75 NUMERIC
@ATTRIBUTE t76 NUMERIC
@ATTRIBUTE t77 NUMERIC
@ATTRIBUTE t78 NUMERIC
@ATTRIBUTE t79 NUMERIC
@ATTRIBUTE t80 NUMERIC
@ATTRIBUTE t81 NUMERIC
@ATTRIBUTE t82 NUMERIC
@ATTRIBUTE t83 NUMERIC
@ATTRIBUTE t84 NUMERIC
@ATTRIBUTE t85 NUMERIC
@ATTRIBUTE t86 NUMERIC
@ATTRIBUTE t87 NUMERIC
@ATTRIBUTE t88 NUMERIC
@ATTRIBUTE t89 NUMERIC
@ATTRIBUTE t90 NUMERIC
@ATTRIBUTE t91 NUMERIC
@ATTRIBUTE t92 NUMERIC
@ATTRIBUTE t93 NUMERIC
@ATTRIBUTE t94 NUMERIC
@ATTRIBUTE t95 NUMERIC
@ATTRIBUTE t96 NUMERIC
@ATTRIBUTE t97 NUMERIC
@ATTRIBUTE t98 NUMERIC
@ATTRIBUTE t99 NUMERIC
@ATTRIBUTE t100 NUMERIC
@ATTRIBUTE patients_class { HEA121, HEA122, HEA123, HEA124, HEA125, HEA126, HEA127, HEA128, HEA129, HEA130, HEA131, HEA132, HEA133, HEA134, HEA135, HEA136, HEA137, HEA138, HEA139, HEA140, HEA141, HEA142, HEA143, HEA144, HEA145, HEA146, HEA147, HEA148, HEA149, HEA150, HEA151, HEA152, HEA153, HEA154, HEA155, HEA156, HEA157, HEA158, HEA159, HEA160, HEA161, HEA162, HEA163, HEA164, HEA165, HEA166, HEA167, HEA168, HEA169, HEA170, HEA171, HEA172, HEA173, HEA174, HEA175, HEA176, HEA177, HEA178, HEA179, HEA180, HEA181, HEA182, HEA183, HEA184, HEA185, HEA186, HEA187, HEA188, HEA189, HEA190, HEA191, HEA192, HEA193, HEA194, HEA195, HEA196, HEA197, HEA198, HEA199, HEA200, HOA1, HOA102, HOA106, HOA107, HOA108, HOA110, HOA111, HOA116, HOA119, HOA120, HOA13, HOA14, HOA15, HOA17, HOA2, HOA201, HOA25, HOA26, HOA30, HOA33, HOA35, HOA36, HOA38, HOA39, HOA40, HOA41, HOA42, HOA44, HOA46, HOA50, HOA54, HOA55, HOA60, HOA61, HOA66, HOA70, HOA71, HOA82, HOA86, HOA9, HOA91, HOA92, HOA93, HOA94, HOA97 }
@ATTRIBUTE OAside_class { L, N, R }
@ATTRIBUTE trial_class { Gait_Trial_1, Gait_Trial_10, Gait_Trial_11, Gait_Trial_12, Gait_Trial_13, Gait_Trial_14, Gait_Trial_15, Gait_Trial_16, Gait_Trial_17, Gait_Trial_18, Gait_Trial_19, Gait_Trial_2, Gait_Trial_20, Gait_Trial_21, Gait_Trial_22, Gait_Trial_23, Gait_Trial_24, Gait_Trial_25, Gait_Trial_26, Gait_Trial_27, Gait_Trial_28, Gait_Trial_29, Gait_Trial_3, Gait_Trial_30, Gait_Trial_31, Gait_Trial_4, Gait_Trial_5, Gait_Trial_6, Gait_Trial_7, Gait_Trial_8, Gait_Trial_9 }
@ATTRIBUTE cycle_class { Cycle_1, Cycle_2, Cycle_3, Cycle_4, Cycle_5, Cycle_6, Cycle_7 }

@DATA
-11.6615,-12.1045,-12.46,-12.7095,-12.8358,-12.8256,-12.6693,-12.3593,-11.889,-11.2551,-10.4621,-9.5249,-8.4682,-7.3193,-6.1002,-4.8201,-3.4721,-2.0358,-0.48674,1.1891,2.9832,4.8613,6.7709,8.6528,10.4538,12.1352,13.677,15.0737,16.3279,17.4413,18.4109,19.2286,19.885,20.3745,20.6992,20.869,20.9005,20.8166,20.6462,20.4226,20.1782,19.9404,19.7308,19.5665,19.4609,19.422,19.4505,19.5381,19.6673,19.8129,19.9454,20.0354,20.0585,19.9996,19.8559,19.6385,19.3711,19.085,18.8061,18.5377,18.2495,17.8826,17.373,16.6789,15.8008,14.7853,13.7104,12.6616,11.7094,10.8942,10.219,9.6511,9.1356,8.6165,8.0517,7.4192,6.7147,5.9454,5.124,4.2654,3.3843,2.4951,1.6119,0.74779,-0.086505,-0.88458,-1.6442,-2.366,-3.0526,-3.7079,-4.3367,-4.9435,-5.5328,-6.1089,-6.6766,-7.2414,-7.8071,-8.3744,-8.9393,-9.4916,-10.0163,HEA141,N,Marche01,Cycle_1
-11.6615,-12.1045,-12.46,-12.7095,-12.8358,-12.8256,-12.6693,-12.3593,-11.889,-11.2551,-10.4621,-9.5249,-8.4682,-7.3193,-6.1002,-4.8201,-3.4721,-2.0358,-0.48674,1.1891,2.9832,4.8613,6.7709,8.6528,10.4538,12.1352,13.677,15.0737,16.3279,17.4413,18.4109,19.2286,19.885,20.3745,20.6992,20.869,20.9005,20.8166,20.6462,20.4226,20.1782,19.9404,19.7308,19.5665,19.4609,19.422,19.4505,19.5381,19.6673,19.8129,19.9454,20.0354,20.0585,19.9996,19.8559,19.6385,19.3711,19.085,18.8061,18.5377,18.2495,17.8826,17.373,16.6789,15.8008,14.7853,13.7104,12.6616,11.7094,10.8942,10.219,9.6511,9.1356,8.6165,8.0517,7.4192,6.7147,5.9454,5.124,4.2654,3.3843,2.4951,1.6119,0.74779,-0.086505,-0.88458,-1.6442,-2.366,-3.0526,-3.7079,-4.3367,-4.9435,-5.5328,-6.1089,-6.6766,-7.2414,-7.8071,-8.3744,-8.9393,-9.4916,-10.0163,HEA141,N,Marche01,Cycle_2
-10.5433,-10.7186,-10.7909,-10.754,-10.6032,-10.335,-9.9474,-9.4398,-8.8129,-8.0687,-7.2101,-6.241,-5.1664,-3.9923,-2.7258,-1.3755,0.048349,1.5335,3.0657,4.6289,6.2049,7.7741,9.3157,10.8091,12.2335,13.5701,14.8016,15.914,16.8966,17.7425,18.4492,19.0182,19.4551,19.7691,19.9724,20.0796,20.107,20.0714,19.9895,19.8772,19.7488,19.6162,19.4893,19.3746,19.2764,19.1956,19.1309,19.0785,19.0326,18.9858,18.9296,18.8549,18.7522,18.6125,18.4274,18.1896,17.8933,17.5343,17.1105,16.622,16.0709,15.4612,14.7989,14.0911,13.3456,12.5707,11.7743,10.9635,10.1446,9.3223,8.5003,7.6813,6.867,6.0585,5.2566,4.4619,3.6753,2.8977,2.1302,1.3737,0.6295,-0.10168,-0.81922,-1.523,-2.2131,-2.8902,-3.5551,-4.2086,-4.8514,-5.4837,-6.1049,-6.7137,-7.3072,-7.8813,-8.4305,-8.9478,-9.425,-9.8528,-10.2214,-10.5206,-10.74,HEA141,N,Marche02,Cycle_1
-10.5433,-10.7186,-10.7909,-10.754,-10.6032,-10.335,-9.9474,-9.4398,-8.8129,-8.0687,-7.2101,-6.241,-5.1664,-3.9923,-2.7258,-1.3755,0.048349,1.5335,3.0657,4.6289,6.2049,7.7741,9.3157,10.8091,12.2335,13.5701,14.8016,15.914,16.8966,17.7425,18.4492,19.0182,19.4551,19.7691,19.9724,20.0796,20.107,20.0714,19.9895,19.8772,19.7488,19.6162,19.4893,19.3746,19.2764,19.1956,19.1309,19.0785,19.0326,18.9858,18.9296,18.8549,18.7522,18.6125,18.4274,18.1896,17.8933,17.5343,17.1105,16.622,16.0709,15.4612,14.7989,14.0911,13.3456,12.5707,11.7743,10.9635,10.1446,9.3223,8.5003,7.6813,6.867,6.0585,5.2566,4.4619,3.6753,2.8977,2.1302,1.3737,0.6295,-0.10168,-0.81922,-1.523,-2.2131,-2.8902,-3.5551,-4.2086,-4.8514,-5.4837,-6.1049,-6.7137,-7.3072,-7.8813,-8.4305,-8.9478,-9.425,-9.8528,-10.2214,-10.5206,-10.74,HEA141,N,Marche02,Cycle_2
-10.3898,-10.707,-10.9475,-11.0998,-11.153,-11.0971,-10.9234,-10.6246,-10.1954,-9.6325,-8.9346,-8.1023,-7.1383,-6.0469,-4.8345,-3.509,-2.0805,-0.56111,1.0349,2.6908,4.3876,6.1038,7.8167,9.502,11.1353,12.6928,14.1519,15.4928,16.6982,17.7552,18.6546,19.392,19.9675,20.3861,20.657,20.7935,20.8122,20.7323,20.5743,20.3594,20.1081,19.8391,19.5688,19.3103,19.0729,18.8622,18.6797,18.5235,18.3883,18.2662,18.1476,18.0215,17.8771,17.7034,17.491,17.2316,16.9194,16.5504,16.123,15.6383,15.099,14.51,13.8776,13.2092,12.5124,11.795,11.064,10.3253,9.5837,8.8425,8.1037,7.3682,6.6364,5.9081,5.1835,4.4629,3.7471,3.0375,2.3359,1.6439,0.96342,0.29563,-0.35895,-1.0007,-1.6311,-2.2525,-2.868,-3.4812,-4.0955,-4.7142,-5.339,-5.9706,-6.6073,-7.2455,-7.8792,-8.5,-9.0976,-9.6603,-10.1749,-10.6277,-11.0051,HEA141,N,Marche03,Cycle_1
-10.3898,-10.707,-10.9475,-11.0998,-11.153,-11.0971,-10.9234,-10.6246,-10.1954,-9.6325,-8.9346,-8.1023,-7.1383,-6.0469,-4.8345,-3.509,-2.0805,-0.56111,1.0349,2.6908,4.3876,6.1038,7.8167,9.502,11.1353,12.6928,14.1519,15.4928,16.6982,17.7552,18.6546,19.392,19.9675,20.3861,20.657,20.7935,20.8122,20.7323,20.5743,20.3594,20.1081,19.8391,19.5688,19.3103,19.0729,18.8622,18.6797,18.5235,18.3883,18.2662,18.1476,18.0215,17.8771,17.7034,17.491,17.2316,16.9194,16.5504,16.123,15.6383,15.099,14.51,13.8776,13.2092,12.5124,11.795,11.064,10.3253,9.5837,8.8425,8.1037,7.3682,6.6364,5.9081,5.1835,4.4629,3.7471,3.0375,2.3359,1.6439,0.96342,0.29563,-0.35895,-1.0007,-1.6311,-2.2525,-2.868,-3.4812,-4.0955,-4.7142,-5.339,-5.9706,-6.6073,-7.2455,-7.8792,-8.5,-9.0976,-9.6603,-10.1749,-10.6277,-11.0051,HEA141,N,Marche03,Cycle_2
-10.2962,-10.4423,-10.5056,-10.4796,-10.3581,-10.1356,-9.8071,-9.3686,-8.817,-8.1507,-7.3693,-6.4744,-5.4691,-4.3589,-3.1515,-1.8568,-0.48718,0.94306,2.4176,3.9188,5.4278,6.9255,8.3931,9.8126,11.1673,12.4428,13.6267,14.7094,15.684,16.5465,17.2959,17.9336,18.4635,18.8917,19.226,19.4756,19.6506,19.7616,19.8191,19.8335,19.8141,19.7694,19.7062,19.6299,19.5442,19.4512,19.3512,19.243,19.1241,18.991,18.8393,18.6643,18.4608,18.2242,17.95,17.6346,17.2753,16.8703,16.419,15.922,15.3809,14.7983,14.1775,13.5224,12.8375,12.1271,11.3956,10.6474,9.8863,9.1158,8.3389,7.5581,6.7755,5.9926,5.2107,4.4307,3.6533,2.8788,2.1078,1.3405,0.57736,-0.1813,-0.93489,-1.6827,-2.4236,-3.1566,-3.8799,-4.5917,-5.2895,-5.9706,-6.6315,-7.2684,-7.877,-8.4522,-8.9887,-9.4804,-9.9211,-10.3039,-10.6221,-10.8685,-11.0362,HEA141,N,Marche04,Cycle_1
-10.2962,-10.4423,-10.5056,-10.4796,-10.3581,-10.1356,-9.8071,-9.3686,-8.817,-8.1507,-7.3693,-6.4744,-5.4691,-4.3589,-3.1515,-1.8568,-0.48718,0.94306,2.4176,3.9188,5.4278,6.9255,8.3931,9.8126,11.1673,12.4428,13.6267,14.7094,15.684,16.5465,17.2959,17.9336,18.4635,18.8917,19.226,19.4756,19.6506,19.7616,19.8191,19.8335,19.8141,19.7694,19.7062,19.6299,19.5442,19.4512,19.3512,19.243,19.1241,18.991,18.8393,18.6643,18.4608,18.2242,17.95,17.6346,17.2753,16.8703,16.419,15.922,15.3809,14.7983,14.1775,13.5224,12.8375,12.1271,11.3956,10.6474,9.8863,9.1158,8.3389,7.5581,6.7755,5.9926,5.2107,4.4307,3.6533,2.8788,2.1078,1.3405,0.57736,-0.1813,-0.93489,-1.6827,-2.4236,-3.1566,-3.8799,-4.5917,-5.2895,-5.9706,-6.6315,-7.2684,-7.877,-8.4522,-8.9887,-9.4804,-9.9211,-10.3039,-10.6221,-10.8685,-11.0362,HEA141,N,Marche04,Cycle_2
-11.4212,-11.5797,-11.6412,-11.5993,-11.4484,-11.1836,-10.8011,-10.2982,-9.6735,-8.9266,-8.0584,-7.0711,-5.9686,-4.7562,-3.4409,-2.0319,-0.54081,1.0187,2.6305,4.2759,5.9345,7.5842,9.2019,10.7647,12.2502,13.6377,14.9089,16.0487,17.0456,17.8923,18.5856,19.127,19.5218,19.7793,19.9122,19.9359,19.8679,19.7269,19.5318,19.3012,19.0524,18.8006,18.5588,18.3368,18.1414,17.9761,17.8414,17.7348,17.6514,17.5841,17.5242,17.462,17.3871,17.2894,17.159,16.9872,16.7667,16.4917,16.1584,15.7653,15.3126,14.8027,14.2397,13.6293,12.9777,12.2922,11.5799,10.8475,10.1015,9.3471,8.5889,7.8307,7.0753,6.3249,5.5812,4.8455,4.1187,3.4018,2.6952,1.9997,1.3155,0.64304,-0.01758,-0.66633,-1.3034,-1.9291,-2.5438,-3.1482,-3.7426,-4.3275,-4.9028,-5.4681,-6.0221,-6.5629,-7.0873,-7.5911,-8.069,-8.5144,-8.9198,-9.2767,-9.576,HEA141,N,Marche05,Cycle_1
-11.4212,-11.5797,-11.6412,-11.5993,-11.4484,-11.1836,-10.8011,-10.2982,-9.6735,-8.9266,-8.0584,-7.0711,-5.9686,-4.7562,-3.4409,-2.0319,-0.54081,1.0187,2.6305,4.2759,5.9345,7.5842,9.2019,10.7647,12.2502,13.6377,14.9089,16.0487,17.0456,17.8923,18.5856,19.127,19.5218,19.7793,19.9122,19.9359,19.8679,19.7269,19.5318,19.3012,19.0524,18.8006,18.5588,18.3368,18.1414,17.9761,17.8414,17.7348,17.6514,17.5841,17.5242,17.462,17.3871,17.2894,17.159,16.9872,16.7667,16.4917,16.1584,15.7653,15.3126,14.8027,14.2397,13.6293,12.9777,12.2922,11.5799,10.8475,10.1015,9.3471,8.5889,7.8307,7.0753,6.3249,5.5812,4.8455,4.1187,3.4018,2.6952,1.9997,1.3155,0.64304,-0.01758,-0.66633,-1.3034,-1.9291,-2.5438,-3.1482,-3.7426,-4.3275,-4.9028,-5.4681,-6.0221,-6.5629,-7.0873,-7.5911,-8.069,-8.5144,-8.9198,-9.2767,-9.576,HEA141,N,Marche05,Cycle_2
