@RELATION HEA_M0_RHipAngles_X

@ATTRIBUTE t0 NUMERIC
@ATTRIBUTE t1 NUMERIC
@ATTRIBUTE t2 NUMERIC
@ATTRIBUTE t3 NUMERIC
@ATTRIBUTE t4 NUMERIC
@ATTRIBUTE t5 NUMERIC
@ATTRIBUTE t6 NUMERIC
@ATTRIBUTE t7 NUMERIC
@ATTRIBUTE t8 NUMERIC
@ATTRIBUTE t9 NUMERIC
@ATTRIBUTE t10 NUMERIC
@ATTRIBUTE t11 NUMERIC
@ATTRIBUTE t12 NUMERIC
@ATTRIBUTE t13 NUMERIC
@ATTRIBUTE t14 NUMERIC
@ATTRIBUTE t15 NUMERIC
@ATTRIBUTE t16 NUMERIC
@ATTRIBUTE t17 NUMERIC
@ATTRIBUTE t18 NUMERIC
@ATTRIBUTE t19 NUMERIC
@ATTRIBUTE t20 NUMERIC
@ATTRIBUTE t21 NUMERIC
@ATTRIBUTE t22 NUMERIC
@ATTRIBUTE t23 NUMERIC
@ATTRIBUTE t24 NUMERIC
@ATTRIBUTE t25 NUMERIC
@ATTRIBUTE t26 NUMERIC
@ATTRIBUTE t27 NUMERIC
@ATTRIBUTE t28 NUMERIC
@ATTRIBUTE t29 NUMERIC
@ATTRIBUTE t30 NUMERIC
@ATTRIBUTE t31 NUMERIC
@ATTRIBUTE t32 NUMERIC
@ATTRIBUTE t33 NUMERIC
@ATTRIBUTE t34 NUMERIC
@ATTRIBUTE t35 NUMERIC
@ATTRIBUTE t36 NUMERIC
@ATTRIBUTE t37 NUMERIC
@ATTRIBUTE t38 NUMERIC
@ATTRIBUTE t39 NUMERIC
@ATTRIBUTE t40 NUMERIC
@ATTRIBUTE t41 NUMERIC
@ATTRIBUTE t42 NUMERIC
@ATTRIBUTE t43 NUMERIC
@ATTRIBUTE t44 NUMERIC
@ATTRIBUTE t45 NUMERIC
@ATTRIBUTE t46 NUMERIC
@ATTRIBUTE t47 NUMERIC
@ATTRIBUTE t48 NUMERIC
@ATTRIBUTE t49 NUMERIC
@ATTRIBUTE t50 NUMERIC
@ATTRIBUTE t51 NUMERIC
@ATTRIBUTE t52 NUMERIC
@ATTRIBUTE t53 NUMERIC
@ATTRIBUTE t54 NUMERIC
@ATTRIBUTE t55 NUMERIC
@ATTRIBUTE t56 NUMERIC
@ATTRIBUTE t57 NUMERIC
@ATTRIBUTE t58 NUMERIC
@ATTRIBUTE t59 NUMERIC
@ATTRIBUTE t60 NUMERIC
@ATTRIBUTE t61 NUMERIC
@ATTRIBUTE t62 NUMERIC
@ATTRIBUTE t63 NUMERIC
@ATTRIBUTE t64 NUMERIC
@ATTRIBUTE t65 NUMERIC
@ATTRIBUTE t66 NUMERIC
@ATTRIBUTE t67 NUMERIC
@ATTRIBUTE t68 NUMERIC
@ATTRIBUTE t69 NUMERIC
@ATTRIBUTE t70 NUMERIC
@ATTRIBUTE t71 NUMERIC
@ATTRIBUTE t72 NUMERIC
@ATTRIBUTE t73 NUMERIC
@ATTRIBUTE t74 NUMERIC
@ATTRIBUTE t75 NUMERIC
@ATTRIBUTE t76 NUMERIC
@ATTRIBUTE t77 NUMERIC
@ATTRIBUTE t78 NUMERIC
@ATTRIBUTE t79 NUMERIC
@ATTRIBUTE t80 NUMERIC
@ATTRIBUTE t81 NUMERIC
@ATTRIBUTE t82 NUMERIC
@ATTRIBUTE t83 NUMERIC
@ATTRIBUTE t84 NUMERIC
@ATTRIBUTE t85 NUMERIC
@ATTRIBUTE t86 NUMERIC
@ATTRIBUTE t87 NUMERIC
@ATTRIBUTE t88 NUMERIC
@ATTRIBUTE t89 NUMERIC
@ATTRIBUTE t90 NUMERIC
@ATTRIBUTE t91 NUMERIC
@ATTRIBUTE t92 NUMERIC
@ATTRIBUTE t93 NUMERIC
@ATTRIBUTE t94 NUMERIC
@ATTRIBUTE t95 NUMERIC
@ATTRIBUTE t96 NUMERIC
@ATTRIBUTE t97 NUMERIC
@ATTRIBUTE t98 NUMERIC
@ATTRIBUTE t99 NUMERIC
@ATTRIBUTE t100 NUMERIC
@ATTRIBUTE patients_class { HEA121, HEA122, HEA123, HEA124, HEA125, HEA126, HEA127, HEA128, HEA129, HEA130, HEA131, HEA132, HEA133, HEA134, HEA135, HEA136, HEA137, HEA138, HEA139, HEA140, HEA141, HEA142, HEA143, HEA144, HEA145, HEA146, HEA147, HEA148, HEA149, HEA150, HEA151, HEA152, HEA153, HEA154, HEA155, HEA156, HEA157, HEA158, HEA159, HEA160, HEA161, HEA162, HEA163, HEA164, HEA165, HEA166, HEA167, HEA168, HEA169, HEA170, HEA171, HEA172, HEA173, HEA174, HEA175, HEA176, HEA177, HEA178, HEA179, HEA180, HEA181, HEA182, HEA183, HEA184, HEA185, HEA186, HEA187, HEA188, HEA189, HEA190, HEA191, HEA192, HEA193, HEA194, HEA195, HEA196, HEA197, HEA198, HEA199, HEA200, HOA1, HOA102, HOA106, HOA107, HOA108, HOA110, HOA111, HOA116, HOA119, HOA120, HOA13, HOA14, HOA15, HOA17, HOA2, HOA201, HOA25, HOA26, HOA30, HOA33, HOA35, HOA36, HOA38, HOA39, HOA40, HOA41, HOA42, HOA44, HOA46, HOA50, HOA54, HOA55, HOA60, HOA61, HOA66, HOA70, HOA71, HOA82, HOA86, HOA9, HOA91, HOA92, HOA93, HOA94, HOA97 }
@ATTRIBUTE OAside_class { L, N, R }
@ATTRIBUTE trial_class { Gait_Trial_1, Gait_Trial_10, Gait_Trial_11, Gait_Trial_12, Gait_Trial_13, Gait_Trial_14, Gait_Trial_15, Gait_Trial_16, Gait_Trial_17, Gait_Trial_18, Gait_Trial_19, Gait_Trial_2, Gait_Trial_20, Gait_Trial_21, Gait_Trial_22, Gait_Trial_23, Gait_Trial_24, Gait_Trial_25, Gait_Trial_26, Gait_Trial_27, Gait_Trial_28, Gait_Trial_29, Gait_Trial_3, Gait_Trial_30, Gait_Trial_31, Gait_Trial_4, Gait_Trial_5, Gait_Trial_6, Gait_Trial_7, Gait_Trial_8, Gait_Trial_9 }
@ATTRIBUTE cycle_class { Cycle_1, Cycle_2, Cycle_3, Cycle_4, Cycle_5, Cycle_6, Cycle_7 }

@DATA
25.7495,25.6948,25.5646,25.3547,25.0679,24.712,24.2995,23.846,23.3647,22.8553,22.2997,21.6702,20.9464,20.1296,19.2465,18.3423,17.4675,16.6632,15.9505,15.3274,14.7721,14.2517,13.7305,13.1763,12.5648,11.8807,11.1186,10.2811,9.3764,8.4166,7.4166,6.3947,5.3716,4.3673,3.3975,2.4711,1.5907,0.75418,-0.043356,-0.80912,-1.5522,-2.2816,-3.0035,-3.7195,-4.4272,-5.1212,-5.7944,-6.4389,-7.0472,-7.6123,-8.1265,-8.5806,-8.9623,-9.2556,-9.4405,-9.4937,-9.3903,-9.1085,-8.6334,-7.9621,-7.1055,-6.089,-4.9508,-3.7355,-2.4829,-1.2159,0.066522,1.3873,2.7821,4.2867,5.9224,7.6873,9.5563,11.4883,13.4341,15.3415,17.1608,18.8492,20.3739,21.7145,22.8622,23.8183,24.5913,25.1932,25.6364,25.9323,26.0937,26.1367,26.0821,25.9562,25.7904,25.6178,25.4693,25.3683,25.3273,25.3476,25.4218,25.5363,25.6736,25.8134,25.9333,HEA141,N,Marche01,Cycle_1
25.7495,25.6948,25.5646,25.3547,25.0679,24.712,24.2995,23.846,23.3647,22.8553,22.2997,21.6702,20.9464,20.1296,19.2465,18.3423,17.4675,16.6632,15.9505,15.3274,14.7721,14.2517,13.7305,13.1763,12.5648,11.8807,11.1186,10.2811,9.3764,8.4166,7.4166,6.3947,5.3716,4.3673,3.3975,2.4711,1.5907,0.75418,-0.043356,-0.80912,-1.5522,-2.2816,-3.0035,-3.7195,-4.4272,-5.1212,-5.7944,-6.4389,-7.0472,-7.6123,-8.1265,-8.5806,-8.9623,-9.2556,-9.4405,-9.4937,-9.3903,-9.1085,-8.6334,-7.9621,-7.1055,-6.089,-4.9508,-3.7355,-2.4829,-1.2159,0.066522,1.3873,2.7821,4.2867,5.9224,7.6873,9.5563,11.4883,13.4341,15.3415,17.1608,18.8492,20.3739,21.7145,22.8622,23.8183,24.5913,25.1932,25.6364,25.9323,26.0937,26.1367,26.0821,25.9562,25.7904,25.6178,25.4693,25.3683,25.3273,25.3476,25.4218,25.5363,25.6736,25.8134,25.9333,HEA141,N,Marche01,Cycle_2
26.317,26.1271,25.903,25.6404,25.3363,24.9887,24.5974,24.1636,23.6898,23.1794,22.6366,22.0658,21.4713,20.857,20.2259,19.5803,18.9212,18.2489,17.5628,16.8614,16.1431,15.4061,14.6485,13.8691,13.0668,12.2417,11.3943,10.526,9.6389,8.7357,7.8196,6.894,5.9626,5.0289,4.0964,3.1683,2.2475,1.337,0.43936,-0.44253,-1.3057,-2.1468,-2.9618,-3.7459,-4.4935,-5.198,-5.8517,-6.446,-6.9717,-7.4189,-7.7776,-8.0379,-8.1904,-8.227,-8.1406,-7.9257,-7.5788,-7.0982,-6.4843,-5.7389,-4.8659,-3.8702,-2.7583,-1.5377,-0.21672,1.1949,2.6863,4.2453,5.8584,7.5101,9.1837,10.8611,12.5232,14.1504,15.7235,17.2242,18.6355,19.943,21.135,22.203,23.1416,23.9492,24.6275,25.1812,25.618,25.9476,26.1818,26.3332,26.4152,26.4407,26.4221,26.3703,26.2947,26.2026,26.0993,25.9879,25.8694,25.7432,25.6067,25.4564,25.2878,HEA141,N,Marche02,Cycle_1
26.317,26.1271,25.903,25.6404,25.3363,24.9887,24.5974,24.1636,23.6898,23.1794,22.6366,22.0658,21.4713,20.857,20.2259,19.5803,18.9212,18.2489,17.5628,16.8614,16.1431,15.4061,14.6485,13.8691,13.0668,12.2417,11.3943,10.526,9.6389,8.7357,7.8196,6.894,5.9626,5.0289,4.0964,3.1683,2.2475,1.337,0.43936,-0.44253,-1.3057,-2.1468,-2.9618,-3.7459,-4.4935,-5.198,-5.8517,-6.446,-6.9717,-7.4189,-7.7776,-8.0379,-8.1904,-8.227,-8.1406,-7.9257,-7.5788,-7.0982,-6.4843,-5.7389,-4.8659,-3.8702,-2.7583,-1.5377,-0.21672,1.1949,2.6863,4.2453,5.8584,7.5101,9.1837,10.8611,12.5232,14.1504,15.7235,17.2242,18.6355,19.943,21.135,22.203,23.1416,23.9492,24.6275,25.1812,25.618,25.9476,26.1818,26.3332,26.4152,26.4407,26.4221,26.3703,26.2947,26.2026,26.0993,25.9879,25.8694,25.7432,25.6067,25.4564,25.2878,HEA141,N,Marche02,Cycle_2
25.2341,25.024,24.7845,24.5106,24.1983,23.8449,23.4488,23.0102,22.5301,22.0111,21.4564,20.8703,20.2572,19.6216,18.9678,18.2993,17.6188,16.9281,16.2278,15.5176,14.7965,14.0629,13.3151,12.5517,11.7714,10.9739,10.1594,9.3289,8.484,7.6269,6.7601,5.8863,5.0079,4.1273,3.2469,2.3684,1.4939,0.62503,-0.2361,-1.0873,-1.9258,-2.7483,-3.5509,-4.3287,-5.0762,-5.7869,-6.4537,-7.0685,-7.6229,-8.1076,-8.5133,-8.8305,-9.05,-9.1632,-9.1622,-9.0405,-8.7928,-8.4157,-7.9075,-7.2681,-6.499,-5.6035,-4.5858,-3.4514,-2.2071,-0.86026,0.5801,2.1036,3.6983,5.35,7.0429,8.7588,10.4782,12.1803,13.8441,15.449,16.9756,18.4065,19.727,20.9251,21.9921,22.9225,23.7141,24.3675,24.8863,25.2765,25.5462,25.7055,25.766,25.7402,25.6412,25.4824,25.2769,25.0371,24.7745,24.4994,24.2202,23.9437,23.6747,23.416,23.168,HEA141,N,Marche03,Cycle_1
25.2341,25.024,24.7845,24.5106,24.1983,23.8449,23.4488,23.0102,22.5301,22.0111,21.4564,20.8703,20.2572,19.6216,18.9678,18.2993,17.6188,16.9281,16.2278,15.5176,14.7965,14.0629,13.3151,12.5517,11.7714,10.9739,10.1594,9.3289,8.484,7.6269,6.7601,5.8863,5.0079,4.1273,3.2469,2.3684,1.4939,0.62503,-0.2361,-1.0873,-1.9258,-2.7483,-3.5509,-4.3287,-5.0762,-5.7869,-6.4537,-7.0685,-7.6229,-8.1076,-8.5133,-8.8305,-9.05,-9.1632,-9.1622,-9.0405,-8.7928,-8.4157,-7.9075,-7.2681,-6.499,-5.6035,-4.5858,-3.4514,-2.2071,-0.86026,0.5801,2.1036,3.6983,5.35,7.0429,8.7588,10.4782,12.1803,13.8441,15.449,16.9756,18.4065,19.727,20.9251,21.9921,22.9225,23.7141,24.3675,24.8863,25.2765,25.5462,25.7055,25.766,25.7402,25.6412,25.4824,25.2769,25.0371,24.7745,24.4994,24.2202,23.9437,23.6747,23.416,23.168,HEA141,N,Marche03,Cycle_2
25.5617,25.2656,24.9383,24.5787,24.1864,23.7611,23.3032,22.8136,22.2936,21.7448,21.1693,20.5691,19.9462,19.3024,18.6396,17.9588,17.2611,16.5469,15.8165,15.0697,14.3064,13.5262,12.7289,11.9144,11.0826,10.234,9.3693,8.4893,7.5956,6.6896,5.7735,4.8496,3.9205,2.9892,2.0589,1.1331,0.21565,-0.68934,-1.5775,-2.4442,-3.2843,-4.0926,-4.8634,-5.5907,-6.2683,-6.8896,-7.4479,-7.9364,-8.3482,-8.6763,-8.9141,-9.0553,-9.0939,-9.0245,-8.8424,-8.5438,-8.1256,-7.5858,-6.9234,-6.1387,-5.2332,-4.2099,-3.0733,-1.8294,-0.48625,0.94664,2.4577,4.0338,5.6599,7.3198,8.9962,10.6712,12.3267,13.9451,15.5096,17.0049,18.4174,19.7356,20.9504,22.055,23.0453,23.9192,24.6771,25.3215,25.8566,26.2883,26.6236,26.8704,27.0372,27.1327,27.1654,27.1435,27.0741,26.9639,26.8181,26.6407,26.4348,26.202,25.9432,25.6582,25.3463,HEA141,N,Marche04,Cycle_1
25.5617,25.2656,24.9383,24.5787,24.1864,23.7611,23.3032,22.8136,22.2936,21.7448,21.1693,20.5691,19.9462,19.3024,18.6396,17.9588,17.2611,16.5469,15.8165,15.0697,14.3064,13.5262,12.7289,11.9144,11.0826,10.234,9.3693,8.4893,7.5956,6.6896,5.7735,4.8496,3.9205,2.9892,2.0589,1.1331,0.21565,-0.68934,-1.5775,-2.4442,-3.2843,-4.0926,-4.8634,-5.5907,-6.2683,-6.8896,-7.4479,-7.9364,-8.3482,-8.6763,-8.9141,-9.0553,-9.0939,-9.0245,-8.8424,-8.5438,-8.1256,-7.5858,-6.9234,-6.1387,-5.2332,-4.2099,-3.0733,-1.8294,-0.48625,0.94664,2.4577,4.0338,5.6599,7.3198,8.9962,10.6712,12.3267,13.9451,15.5096,17.0049,18.4174,19.7356,20.9504,22.055,23.0453,23.9192,24.6771,25.3215,25.8566,26.2883,26.6236,26.8704,27.0372,27.1327,27.1654,27.1435,27.0741,26.9639,26.8181,26.6407,26.4348,26.202,25.9432,25.6582,25.3463,HEA141,N,Marche04,Cycle_2
23.8081,23.5708,23.3046,23.0055,22.6708,22.299,21.8902,21.4453,20.9667,20.4575,19.9215,19.3623,18.7839,18.1894,17.5817,16.9625,16.3329,15.6932,15.043,14.3811,13.7063,13.017,12.3119,11.5898,10.8502,10.0931,9.3191,8.5298,7.727,6.9135,6.0921,5.266,4.4384,3.6124,2.7908,1.9759,1.1697,0.37382,-0.41052,-1.1824,-1.9407,-2.6844,-3.412,-4.1211,-4.8089,-5.4711,-6.1024,-6.6965,-7.2453,-7.74,-8.1705,-8.5262,-8.7958,-8.968,-9.0319,-8.977,-8.7941,-8.4751,-8.0136,-7.4049,-6.6465,-5.7378,-4.6808,-3.4795,-2.1409,-0.6741,0.9087,2.5928,4.3608,6.1929,8.0672,9.9602,11.8477,13.705,15.5083,17.2351,18.8651,20.3807,21.7678,23.0154,24.1166,25.0681,25.8701,26.5266,27.0443,27.433,27.7043,27.8714,27.9483,27.9492,27.8878,27.7767,27.6272,27.4487,27.2486,27.0322,26.803,26.5624,26.3106,26.0459,25.7662,HEA141,N,Marche05,Cycle_1
23.8081,23.5708,23.3046,23.0055,22.6708,22.299,21.8902,21.4453,20.9667,20.4575,19.9215,19.3623,18.7839,18.1894,17.5817,16.9625,16.3329,15.6932,15.043,14.3811,13.7063,13.017,12.3119,11.5898,10.8502,10.0931,9.3191,8.5298,7.727,6.9135,6.0921,5.266,4.4384,3.6124,2.7908,1.9759,1.1697,0.37382,-0.41052,-1.1824,-1.9407,-2.6844,-3.412,-4.1211,-4.8089,-5.4711,-6.1024,-6.6965,-7.2453,-7.74,-8.1705,-8.5262,-8.7958,-8.968,-9.0319,-8.977,-8.7941,-8.4751,-8.0136,-7.4049,-6.6465,-5.7378,-4.6808,-3.4795,-2.1409,-0.6741,0.9087,2.5928,4.3608,6.1929,8.0672,9.9602,11.8477,13.705,15.5083,17.2351,18.8651,20.3807,21.7678,23.0154,24.1166,25.0681,25.8701,26.5266,27.0443,27.433,27.7043,27.8714,27.9483,27.9492,27.8878,27.7767,27.6272,27.4487,27.2486,27.0322,26.803,26.5624,26.3106,26.0459,25.7662,HEA141,N,Marche05,Cycle_2
