@RELATION HOA_M6_RHipAngles_X

@ATTRIBUTE t0 NUMERIC
@ATTRIBUTE t1 NUMERIC
@ATTRIBUTE t2 NUMERIC
@ATTRIBUTE t3 NUMERIC
@ATTRIBUTE t4 NUMERIC
@ATTRIBUTE t5 NUMERIC
@ATTRIBUTE t6 NUMERIC
@ATTRIBUTE t7 NUMERIC
@ATTRIBUTE t8 NUMERIC
@ATTRIBUTE t9 NUMERIC
@ATTRIBUTE t10 NUMERIC
@ATTRIBUTE t11 NUMERIC
@ATTRIBUTE t12 NUMERIC
@ATTRIBUTE t13 NUMERIC
@ATTRIBUTE t14 NUMERIC
@ATTRIBUTE t15 NUMERIC
@ATTRIBUTE t16 NUMERIC
@ATTRIBUTE t17 NUMERIC
@ATTRIBUTE t18 NUMERIC
@ATTRIBUTE t19 NUMERIC
@ATTRIBUTE t20 NUMERIC
@ATTRIBUTE t21 NUMERIC
@ATTRIBUTE t22 NUMERIC
@ATTRIBUTE t23 NUMERIC
@ATTRIBUTE t24 NUMERIC
@ATTRIBUTE t25 NUMERIC
@ATTRIBUTE t26 NUMERIC
@ATTRIBUTE t27 NUMERIC
@ATTRIBUTE t28 NUMERIC
@ATTRIBUTE t29 NUMERIC
@ATTRIBUTE t30 NUMERIC
@ATTRIBUTE t31 NUMERIC
@ATTRIBUTE t32 NUMERIC
@ATTRIBUTE t33 NUMERIC
@ATTRIBUTE t34 NUMERIC
@ATTRIBUTE t35 NUMERIC
@ATTRIBUTE t36 NUMERIC
@ATTRIBUTE t37 NUMERIC
@ATTRIBUTE t38 NUMERIC
@ATTRIBUTE t39 NUMERIC
@ATTRIBUTE t40 NUMERIC
@ATTRIBUTE t41 NUMERIC
@ATTRIBUTE t42 NUMERIC
@ATTRIBUTE t43 NUMERIC
@ATTRIBUTE t44 NUMERIC
@ATTRIBUTE t45 NUMERIC
@ATTRIBUTE t46 NUMERIC
@ATTRIBUTE t47 NUMERIC
@ATTRIBUTE t48 NUMERIC
@ATTRIBUTE t49 NUMERIC
@ATTRIBUTE t50 NUMERIC
@ATTRIBUTE t51 NUMERIC
@ATTRIBUTE t52 NUMERIC
@ATTRIBUTE t53 NUMERIC
@ATTRIBUTE t54 NUMERIC
@ATTRIBUTE t55 NUMERIC
@ATTRIBUTE t56 NUMERIC
@ATTRIBUTE t57 NUMERIC
@ATTRIBUTE t58 NUMERIC
@ATTRIBUTE t59 NUMERIC
@ATTRIBUTE t60 NUMERIC
@ATTRIBUTE t61 NUMERIC
@ATTRIBUTE t62 NUMERIC
@ATTRIBUTE t63 NUMERIC
@ATTRIBUTE t64 NUMERIC
@ATTRIBUTE t65 NUMERIC
@ATTRIBUTE t66 NUMERIC
@ATTRIBUTE t67 NUMERIC
@ATTRIBUTE t68 NUMERIC
@ATTRIBUTE t69 NUMERIC
@ATTRIBUTE t70 NUMERIC
@ATTRIBUTE t71 NUMERIC
@ATTRIBUTE t72 NUMERIC
@ATTRIBUTE t73 NUMERIC
@ATTRIBUTE t74 NUMERIC
@ATTRIBUTE t75 NUMERIC
@ATTRIBUTE t76 NUMERIC
@ATTRIBUTE t77 NUMERIC
@ATTRIBUTE t78 NUMERIC
@ATTRIBUTE t79 NUMERIC
@ATTRIBUTE t80 NUMERIC
@ATTRIBUTE t81 NUMERIC
@ATTRIBUTE t82 NUMERIC
@ATTRIBUTE t83 NUMERIC
@ATTRIBUTE t84 NUMERIC
@ATTRIBUTE t85 NUMERIC
@ATTRIBUTE t86 NUMERIC
@ATTRIBUTE t87 NUMERIC
@ATTRIBUTE t88 NUMERIC
@ATTRIBUTE t89 NUMERIC
@ATTRIBUTE t90 NUMERIC
@ATTRIBUTE t91 NUMERIC
@ATTRIBUTE t92 NUMERIC
@ATTRIBUTE t93 NUMERIC
@ATTRIBUTE t94 NUMERIC
@ATTRIBUTE t95 NUMERIC
@ATTRIBUTE t96 NUMERIC
@ATTRIBUTE t97 NUMERIC
@ATTRIBUTE t98 NUMERIC
@ATTRIBUTE t99 NUMERIC
@ATTRIBUTE t100 NUMERIC
@ATTRIBUTE patients_class { HOA1, HOA100, HOA101, HOA102, HOA103, HOA104, HOA106, HOA107, HOA108, HOA11, HOA111, HOA112, HOA114, HOA115, HOA116, HOA117, HOA119, HOA12, HOA120, HOA14, HOA15, HOA17, HOA2, HOA20, HOA201, HOA21, HOA22, HOA23, HOA24, HOA25, HOA27, HOA29, HOA3, HOA30, HOA31, HOA33, HOA34, HOA35, HOA36, HOA37, HOA38, HOA39, HOA4, HOA40, HOA41, HOA42, HOA43, HOA45, HOA46, HOA47, HOA48, HOA5, HOA50, HOA52, HOA53, HOA54, HOA55, HOA56, HOA58, HOA59, HOA60, HOA61, HOA64, HOA66, HOA67, HOA68, HOA7, HOA70, HOA71, HOA72, HOA73, HOA74, HOA75, HOA76, HOA79, HOA80, HOA81, HOA82, HOA83, HOA84, HOA85, HOA86, HOA87, HOA88, HOA89, HOA91, HOA92, HOA93, HOA94, HOA96, HOA97, HOA98 }
@ATTRIBUTE OAside_class { L, R }
@ATTRIBUTE trial_class { Gait_Trial_1, Gait_Trial_10, Gait_Trial_11, Gait_Trial_12, Gait_Trial_13, Gait_Trial_14, Gait_Trial_15, Gait_Trial_16, Gait_Trial_17, Gait_Trial_18, Gait_Trial_19, Gait_Trial_2, Gait_Trial_20, Gait_Trial_21, Gait_Trial_22, Gait_Trial_23, Gait_Trial_24, Gait_Trial_25, Gait_Trial_26, Gait_Trial_27, Gait_Trial_28, Gait_Trial_29, Gait_Trial_3, Gait_Trial_30, Gait_Trial_31, Gait_Trial_32, Gait_Trial_4, Gait_Trial_5, Gait_Trial_6, Gait_Trial_7, Gait_Trial_8, Gait_Trial_9 }
@ATTRIBUTE cycle_class { 

@DATA
38.4119,38.4252,38.2371,37.8625,37.3322,36.691,35.9886,35.2669,34.5517,33.8518,33.1642,32.4802,31.7899,31.0839,30.3537,29.5914,28.7905,27.9474,27.0624,26.1401,25.1886,24.2172,23.2344,22.2464,21.2565,20.2653,19.2716,18.2735,17.2692,16.2572,15.2374,14.2107,13.1798,12.1482,11.1209,10.1031,9.0998,8.1157,7.1542,6.2184,5.3109,4.4347,3.5941,2.7946,2.0434,1.3483,0.71797,0.16029,-0.31783,-0.71099,-1.0155,-1.2293,-1.3515,-1.3822,-1.3216,-1.1699,-0.92675,-0.59095,-0.16017,0.36926,1.0023,1.7444,2.6006,3.5738,4.6636,5.8648,7.1669,8.5543,10.0072,11.5035,13.0205,14.5362,16.0303,17.4842,18.8813,20.2073,21.4508,22.6041,23.6629,24.6268,25.4978,26.2801,26.9795,27.603,28.1591,28.658,29.1129,29.5407,29.9637,30.4089,30.906,31.4796,32.1386,32.8652,33.6129,34.3178,34.9165,35.3602,35.6175,35.6717,35.5187,HOA68,R,Marche01,Cycle_1
36.3478,36.5162,36.4689,36.2058,35.7445,35.1288,34.4247,33.6989,32.9945,32.321,31.664,31.0007,30.3125,29.5889,28.826,28.0211,27.1686,26.2596,25.2863,24.2471,23.1495,22.0079,20.8403,19.6632,18.4893,17.3269,16.1805,15.0524,13.9436,12.8554,11.7901,10.7517,9.7459,8.7795,7.859,6.9898,6.1744,5.4127,4.7017,4.0362,3.4099,2.8163,2.2497,1.7059,1.1831,0.68182,0.20474,-0.24357,-0.65731,-1.0299,-1.3545,-1.6235,-1.829,-1.9628,-2.0157,-1.9785,-1.8419,-1.5974,-1.2371,-0.75415,-0.14291,0.60018,1.4755,2.4792,3.6021,4.8303,6.1456,7.5276,8.9544,10.4043,11.857,13.2948,14.703,16.0699,17.3864,18.6451,19.8396,20.9644,22.0146,22.9865,23.8774,24.6867,25.4153,26.0668,26.6472,27.1656,27.6351,28.0732,28.5024,28.9505,29.4485,30.026,30.7035,31.4823,32.3388,33.2259,34.0843,34.8562,35.4938,35.9603,36.2285,HOA68,R,Marche02,Cycle_1
37.5277,37.6653,37.5275,37.1131,36.4557,35.627,34.7208,33.8197,32.9711,32.1846,31.4469,30.7368,30.0343,29.3225,28.5874,27.8161,26.9984,26.1279,25.2043,24.2327,23.2219,22.1822,21.1231,20.0525,18.9768,17.9014,16.831,15.7699,14.7225,13.6926,12.6843,11.7019,10.7497,9.8317,8.9508,8.1083,7.3032,6.5332,5.7947,5.0837,4.3968,3.7318,3.0883,2.4676,1.8729,1.3089,0.78163,0.29848,-0.13224,-0.50135,-0.79931,-1.0166,-1.1443,-1.1748,-1.1016,-0.91984,-0.62641,-0.21931,0.30268,0.94069,1.6964,2.572,3.5691,4.6877,5.9235,7.2669,8.7018,10.2064,11.7543,13.3164,14.8639,16.3704,17.8143,19.1806,20.4616,21.6566,22.7706,23.812,24.7903,25.7135,26.5867,27.4111,28.1849,28.9036,29.5631,30.1617,30.7022,31.1939,31.6531,32.1025,32.568,33.0733,33.6338,34.2489,34.9002,35.5524,36.1598,36.6733,37.0453,37.2324,37.1989,HOA68,R,Marche03,Cycle_1
36.5037,36.4408,36.2105,35.8495,35.3991,34.8971,34.3722,33.8415,33.3116,32.7807,32.241,31.6801,31.0832,30.4341,29.7179,28.9227,28.0427,27.079,26.0386,24.9328,23.7745,22.5762,21.3499,20.1068,18.8584,17.6169,16.3949,15.2052,14.0583,12.9622,11.9214,10.937,10.0077,9.1308,8.303,7.5213,6.7826,6.0844,5.4239,4.7986,4.2056,3.6419,3.1046,2.5911,2.0996,1.6296,1.1822,0.76058,0.36952,0.015961,-0.29142,-0.54244,-0.72584,-0.83006,-0.84409,-0.75827,-0.56484,-0.25813,0.16618,0.71201,1.3837,2.186,3.1217,4.1902,5.3845,6.6915,8.0928,9.5664,11.0885,12.6354,14.185,15.7176,17.2167,18.669,20.0634,21.3912,22.6457,23.8222,24.9187,25.9353,26.8738,27.7367,28.526,29.2435,29.8906,30.469,30.9819,31.436,31.8424,32.2191,32.5905,32.9862,33.4352,33.9571,34.5521,35.1944,35.8359,36.4176,36.8829,37.1837,37.2809,HOA68,R,Marche04,Cycle_1
36.593,36.5829,36.3585,35.9506,35.4075,34.7868,34.1418,33.5106,32.9124,32.3502,31.8157,31.2938,30.7649,30.2063,29.5941,28.9071,28.1313,27.2636,26.3125,25.2947,24.2312,23.143,22.0484,20.962,19.8945,18.8532,17.8419,16.8614,15.9096,14.9835,14.0802,13.1982,12.3388,11.5056,10.7042,9.9406,9.2196,8.5442,7.9145,7.3279,6.7795,6.2626,5.77,5.2941,4.8281,4.3668,3.9075,3.451,3.0014,2.5657,2.1529,1.7733,1.4374,1.1554,0.93696,0.79152,0.72851,0.75827,0.89313,1.1481,1.5406,2.0882,2.8058,3.7011,4.772,6.0066,7.384,8.877,10.4546,12.0838,13.7325,15.3702,16.9703,18.5105,19.9727,21.3434,22.6133,23.7775,24.8357,25.7922,26.6559,27.4406,28.1642,28.8489,29.5185,30.2023,30.9131,31.7045,32.4514,32.4447,32.5673,32.8105,33.2512,33.9082,34.7458,35.6678,36.5556,37.3148,37.8929,38.2672,38.423,HOA68,R,Marche05,Cycle_1
36.7298,36.7124,36.5659,36.2888,35.8845,35.3617,34.7345,34.0209,33.2403,32.411,31.5483,30.6631,29.7623,28.8493,27.9249,26.9878,26.0358,25.0661,24.0763,23.065,22.0323,20.9802,19.913,18.8364,17.7575,16.6838,15.6232,14.5827,13.5687,12.5861,11.6383,10.7274,9.8538,9.0166,8.2136,7.4419,6.6979,5.9782,5.2794,4.599,3.9356,3.289,2.6603,2.0524,1.4695,0.91734,0.40271,-0.066491,-0.48153,-0.83322,-1.1122,-1.3091,-1.4152,-1.4222,-1.3227,-1.1106,-0.78069,-0.32952,0.245,0.94322,1.7636,2.7025,3.7539,4.9094,6.1583,7.4873,8.8814,10.3242,11.7989,13.2889,14.7795,16.258,17.7152,19.1456,20.5474,21.9225,23.2751,24.6118,25.936,27.2588,28.5506,29.9044,30.9063,31.2811,31.6803,31.9965,32.2866,32.5701,32.8805,33.2457,33.6863,34.2025,34.7837,35.3656,35.9881,36.3442,35.3645,36.2565,36.9834,37.6682,38.2664,HOA68,R,Marche06,Cycle_1
34.7477,34.9816,34.9964,34.8243,34.5101,34.1026,33.6451,33.1691,32.6917,32.2169,31.7391,31.2476,30.7302,30.1763,29.5783,28.9323,28.2375,27.4956,26.709,25.8798,25.009,24.0964,23.1411,22.1425,21.1021,20.0233,18.9128,17.7792,16.6325,15.4827,14.3396,13.2122,12.1088,11.037,10.0029,9.0106,8.0623,7.1577,6.2955,5.4737,4.6903,3.944,3.2341,2.5607,1.9246,1.3278,0.77328,0.26563,-0.18897,-0.58286,-0.90717,-1.1524,-1.309,-1.3682,-1.3224,-1.1658,-0.89385,-0.5033,0.0085802,0.64389,1.4041,2.2885,3.2939,4.4135,5.637,6.9505,8.3371,9.7772,11.2491,12.7308,14.2013,15.6422,17.0384,18.379,19.6562,20.8654,22.0048,23.0745,24.076,25.0112,25.8814,26.6873,27.4286,28.1052,28.7175,29.2686,29.7656,30.2218,30.6587,31.1067,31.6036,32.1883,32.8892,33.7081,34.6092,35.5235,36.369,37.0742,37.5893,37.8842,37.942,HOA68,R,Marche07,Cycle_1
38.3121,38.2208,37.8602,37.2657,36.5026,35.6517,34.7852,33.9496,33.1644,32.4306,31.7411,31.0863,30.4542,29.8284,29.1866,28.5018,27.7485,26.9093,25.979,24.9644,23.8799,22.7429,21.5706,20.3776,19.1768,17.9793,16.7958,15.6365,14.5104,13.4252,12.3862,11.3953,10.4516,9.5517,8.6905,7.8622,7.0613,6.2826,5.5228,4.7799,4.0538,3.3466,2.662,2.0051,1.3824,0.80068,0.26745,-0.20948,-0.6219,-0.96124,-1.2188,-1.3861,-1.4558,-1.4219,-1.2807,-1.0309,-0.673,-0.2082,0.36342,1.0444,1.8399,2.7563,3.7985,4.9663,6.2537,7.6481,9.1311,10.6801,12.2689,13.8699,15.4562,17.0043,18.495,19.9145,21.2535,22.5056,23.6666,24.7337,25.7052,26.5803,27.359,28.0423,28.6322,29.1325,29.5495,29.8932,30.1784,30.4255,30.661,30.9177,31.2324,31.6411,32.1713,32.83,33.5944,34.4119,35.2112,35.9195,36.4755,36.832,36.9554,HOA68,R,Marche08,Cycle_1
37.0314,37.0427,36.8409,36.4408,35.8764,35.1957,34.449,33.6779,32.9086,32.151,31.4022,30.6515,29.8864,29.0963,28.274,27.4154,26.5179,25.5797,24.5993,23.576,22.5104,21.4054,20.2675,19.107,17.938,16.7783,15.6476,14.5657,13.5502,12.6132,11.7594,10.985,10.2784,9.6227,8.999,8.3894,7.7797,7.16,6.5256,5.8756,5.2118,4.5383,3.86,3.1829,2.5137,1.8598,1.2298,0.63341,0.080974,-0.41634,-0.84688,-1.1988,-1.4605,-1.621,-1.6706,-1.6017,-1.4083,-1.0865,-0.63345,-0.04638,0.67752,1.5405,2.5422,3.6776,4.9361,6.3014,7.7535,9.2694,10.825,12.3955,13.9572,15.4881,16.9695,18.3866,19.7287,20.9888,22.1627,23.2485,24.2456,25.1535,25.9713,26.6976,27.3315,27.8736,28.3278,28.7038,29.0179,29.2944,29.5659,29.8726,30.2602,30.7755,31.4561,32.3247,33.3597,34.5443,35.6991,36.2785,36.7946,37.1556,37.3487,HOA68,R,Marche09,Cycle_1
39.6081,39.595,39.3363,38.8448,38.1526,37.3139,36.3984,35.4757,34.5967,33.7836,33.0332,32.3277,31.6458,30.9683,30.2787,29.5612,28.799,27.9744,27.0724,26.0854,25.0154,23.8743,22.6807,21.4565,20.2232,19.0009,17.8069,16.6546,15.5533,14.5074,13.5163,12.5752,11.6769,10.8132,9.9774,9.1646,8.3716,7.5966,6.8383,6.0952,5.366,4.6499,3.9468,3.2575,2.5847,1.9325,1.3071,0.717,0.17223,-0.31538,-0.733,-1.0674,-1.3058,-1.4366,-1.4496,-1.3369,-1.0922,-0.71079,-0.18908,0.47577,1.2855,2.2393,3.333,4.5568,5.8955,7.3285,8.8311,10.3764,11.9367,13.486,15.0016,16.4646,17.8612,19.1822,20.4226,21.5809,22.6584,23.6582,24.5837,25.438,26.2233,26.9404,27.5895,28.1709,28.6856,29.1369,29.5308,29.8777,30.1928,30.4979,30.8208,31.1932,31.6461,32.2009,32.8594,33.5976,34.3688,35.1154,35.7828,36.3268,36.7129,HOA68,R,Marche10,Cycle_1
