@RELATION HOA_M6_LHipAngles_X

@ATTRIBUTE t0 NUMERIC
@ATTRIBUTE t1 NUMERIC
@ATTRIBUTE t2 NUMERIC
@ATTRIBUTE t3 NUMERIC
@ATTRIBUTE t4 NUMERIC
@ATTRIBUTE t5 NUMERIC
@ATTRIBUTE t6 NUMERIC
@ATTRIBUTE t7 NUMERIC
@ATTRIBUTE t8 NUMERIC
@ATTRIBUTE t9 NUMERIC
@ATTRIBUTE t10 NUMERIC
@ATTRIBUTE t11 NUMERIC
@ATTRIBUTE t12 NUMERIC
@ATTRIBUTE t13 NUMERIC
@ATTRIBUTE t14 NUMERIC
@ATTRIBUTE t15 NUMERIC
@ATTRIBUTE t16 NUMERIC
@ATTRIBUTE t17 NUMERIC
@ATTRIBUTE t18 NUMERIC
@ATTRIBUTE t19 NUMERIC
@ATTRIBUTE t20 NUMERIC
@ATTRIBUTE t21 NUMERIC
@ATTRIBUTE t22 NUMERIC
@ATTRIBUTE t23 NUMERIC
@ATTRIBUTE t24 NUMERIC
@ATTRIBUTE t25 NUMERIC
@ATTRIBUTE t26 NUMERIC
@ATTRIBUTE t27 NUMERIC
@ATTRIBUTE t28 NUMERIC
@ATTRIBUTE t29 NUMERIC
@ATTRIBUTE t30 NUMERIC
@ATTRIBUTE t31 NUMERIC
@ATTRIBUTE t32 NUMERIC
@ATTRIBUTE t33 NUMERIC
@ATTRIBUTE t34 NUMERIC
@ATTRIBUTE t35 NUMERIC
@ATTRIBUTE t36 NUMERIC
@ATTRIBUTE t37 NUMERIC
@ATTRIBUTE t38 NUMERIC
@ATTRIBUTE t39 NUMERIC
@ATTRIBUTE t40 NUMERIC
@ATTRIBUTE t41 NUMERIC
@ATTRIBUTE t42 NUMERIC
@ATTRIBUTE t43 NUMERIC
@ATTRIBUTE t44 NUMERIC
@ATTRIBUTE t45 NUMERIC
@ATTRIBUTE t46 NUMERIC
@ATTRIBUTE t47 NUMERIC
@ATTRIBUTE t48 NUMERIC
@ATTRIBUTE t49 NUMERIC
@ATTRIBUTE t50 NUMERIC
@ATTRIBUTE t51 NUMERIC
@ATTRIBUTE t52 NUMERIC
@ATTRIBUTE t53 NUMERIC
@ATTRIBUTE t54 NUMERIC
@ATTRIBUTE t55 NUMERIC
@ATTRIBUTE t56 NUMERIC
@ATTRIBUTE t57 NUMERIC
@ATTRIBUTE t58 NUMERIC
@ATTRIBUTE t59 NUMERIC
@ATTRIBUTE t60 NUMERIC
@ATTRIBUTE t61 NUMERIC
@ATTRIBUTE t62 NUMERIC
@ATTRIBUTE t63 NUMERIC
@ATTRIBUTE t64 NUMERIC
@ATTRIBUTE t65 NUMERIC
@ATTRIBUTE t66 NUMERIC
@ATTRIBUTE t67 NUMERIC
@ATTRIBUTE t68 NUMERIC
@ATTRIBUTE t69 NUMERIC
@ATTRIBUTE t70 NUMERIC
@ATTRIBUTE t71 NUMERIC
@ATTRIBUTE t72 NUMERIC
@ATTRIBUTE t73 NUMERIC
@ATTRIBUTE t74 NUMERIC
@ATTRIBUTE t75 NUMERIC
@ATTRIBUTE t76 NUMERIC
@ATTRIBUTE t77 NUMERIC
@ATTRIBUTE t78 NUMERIC
@ATTRIBUTE t79 NUMERIC
@ATTRIBUTE t80 NUMERIC
@ATTRIBUTE t81 NUMERIC
@ATTRIBUTE t82 NUMERIC
@ATTRIBUTE t83 NUMERIC
@ATTRIBUTE t84 NUMERIC
@ATTRIBUTE t85 NUMERIC
@ATTRIBUTE t86 NUMERIC
@ATTRIBUTE t87 NUMERIC
@ATTRIBUTE t88 NUMERIC
@ATTRIBUTE t89 NUMERIC
@ATTRIBUTE t90 NUMERIC
@ATTRIBUTE t91 NUMERIC
@ATTRIBUTE t92 NUMERIC
@ATTRIBUTE t93 NUMERIC
@ATTRIBUTE t94 NUMERIC
@ATTRIBUTE t95 NUMERIC
@ATTRIBUTE t96 NUMERIC
@ATTRIBUTE t97 NUMERIC
@ATTRIBUTE t98 NUMERIC
@ATTRIBUTE t99 NUMERIC
@ATTRIBUTE t100 NUMERIC
@ATTRIBUTE patients_class { HOA1, HOA100, HOA101, HOA102, HOA103, HOA104, HOA106, HOA107, HOA108, HOA11, HOA111, HOA112, HOA114, HOA115, HOA116, HOA117, HOA119, HOA12, HOA120, HOA14, HOA15, HOA17, HOA2, HOA20, HOA201, HOA21, HOA22, HOA23, HOA24, HOA25, HOA27, HOA29, HOA3, HOA30, HOA31, HOA33, HOA34, HOA35, HOA36, HOA37, HOA38, HOA39, HOA4, HOA40, HOA41, HOA42, HOA43, HOA45, HOA46, HOA47, HOA48, HOA5, HOA50, HOA52, HOA53, HOA54, HOA55, HOA56, HOA58, HOA59, HOA60, HOA61, HOA64, HOA66, HOA67, HOA68, HOA7, HOA70, HOA71, HOA72, HOA73, HOA74, HOA75, HOA76, HOA79, HOA80, HOA81, HOA82, HOA83, HOA84, HOA85, HOA86, HOA87, HOA88, HOA89, HOA91, HOA92, HOA93, HOA94, HOA96, HOA97, HOA98 }
@ATTRIBUTE OAside_class { L, R }
@ATTRIBUTE trial_class { Gait_Trial_1, Gait_Trial_10, Gait_Trial_11, Gait_Trial_12, Gait_Trial_13, Gait_Trial_14, Gait_Trial_15, Gait_Trial_16, Gait_Trial_17, Gait_Trial_18, Gait_Trial_19, Gait_Trial_2, Gait_Trial_20, Gait_Trial_21, Gait_Trial_22, Gait_Trial_23, Gait_Trial_24, Gait_Trial_25, Gait_Trial_26, Gait_Trial_27, Gait_Trial_28, Gait_Trial_29, Gait_Trial_3, Gait_Trial_30, Gait_Trial_31, Gait_Trial_32, Gait_Trial_4, Gait_Trial_5, Gait_Trial_6, Gait_Trial_7, Gait_Trial_8, Gait_Trial_9 }
@ATTRIBUTE cycle_class { 

@DATA
7.3427,6.9922,6.6904,6.4543,6.3025,6.2538,6.3268,6.5381,6.9011,7.4246,8.1122,8.962,9.9667,11.1152,12.3926,13.7819,15.2643,16.8197,18.4277,20.0679,21.7204,23.3666,24.9888,26.571,28.0981,29.556,30.9311,32.2101,33.3799,34.4288,35.3467,36.1269,36.7674,37.272,37.6509,37.9209,38.1039,38.2255,38.312,38.387,38.4688,38.5682,38.689,38.8305,38.99,39.1653,39.3544,39.5547,39.7607,39.9649,40.1582,40.3321,40.4802,40.5986,40.6838,40.7306,40.7297,40.6669,40.5247,40.2853,39.935,39.4675,38.8847,38.1954,37.4126,36.5507,35.6232,34.6424,33.6184,32.5606,31.4768,30.3743,29.259,28.1357,27.0081,25.8797,24.7537,23.6343,22.5271,21.4394,20.3796,19.3572,18.3815,17.4603,16.5993,15.8012,15.0654,14.3886,13.7651,13.1872,12.6468,12.1351,11.6442,11.1668,10.6966,10.2289,9.7604,9.2904,8.8208,8.3574,7.91,HOA68,R,Marche01,Cycle_1
7.3492,7.0121,6.6964,6.4109,6.1679,5.9834,5.8774,5.8725,5.9926,6.2607,6.6958,7.3109,8.1112,9.0936,10.2461,11.5497,12.9795,14.5068,16.102,17.7363,19.3843,21.025,22.642,24.2232,25.7596,27.2435,28.6671,30.021,31.2947,32.477,33.5572,34.527,35.3819,36.122,36.7529,37.2846,37.7313,38.1089,38.4332,38.7174,38.9701,39.195,39.393,39.5642,39.7115,39.8402,39.9572,40.0683,40.1767,40.283,40.3857,40.4833,40.5737,40.6544,40.7198,40.7586,40.7531,40.6797,40.5137,40.235,39.8339,39.3136,38.689,37.9812,37.211,36.3934,35.5343,34.6323,33.6814,32.6761,31.615,30.5022,29.3473,28.1635,26.965,25.7653,24.5758,23.4056,22.2621,21.1515,20.08,19.054,18.0795,17.1623,16.3063,15.5134,14.7835,14.114,13.5008,12.9385,12.421,11.9418,11.4943,11.072,10.6684,10.2773,9.8929,9.5108,9.1282,8.7451,8.3649,HOA68,R,Marche02,Cycle_1
8.0169,7.7539,7.5484,7.4156,7.3728,7.4385,7.6312,7.9672,8.459,9.1134,9.9307,10.9049,12.0248,13.2748,14.6372,16.0921,17.6182,19.1935,20.7959,22.4032,23.995,25.5529,27.0611,28.5068,29.8794,31.17,32.3701,33.4715,34.466,35.3462,36.1071,36.7474,37.2705,37.6857,38.0073,38.2537,38.4457,38.6036,38.7451,38.8826,39.0224,39.1651,39.3079,39.4473,39.5811,39.7091,39.8314,39.9483,40.059,40.1624,40.2573,40.3428,40.4175,40.4781,40.5175,40.5232,40.4778,40.3612,40.1545,39.8444,39.4259,38.903,38.2859,37.587,36.8174,35.9843,35.0913,34.1395,33.1303,32.0668,30.9552,29.8038,28.6222,27.4206,26.2089,24.997,23.7953,22.6157,21.4711,20.3748,19.3394,18.3747,17.4868,16.6767,15.9411,15.2731,14.6632,14.1011,13.577,13.082,12.6095,12.1541,11.7122,11.2809,10.8575,10.4396,10.0251,9.6122,9.2005,8.7916,8.3892,HOA68,R,Marche03,Cycle_1
8.9324,8.6526,8.4165,8.2402,8.1422,8.1424,8.2603,8.5132,8.9145,9.4723,10.1883,11.0584,12.0731,13.2189,14.4795,15.8366,17.2707,18.7613,20.2872,21.8272,23.3609,24.8689,26.3342,27.7415,29.0771,30.3285,31.4838,32.5318,33.463,34.2705,34.9524,35.5122,35.9605,36.3144,36.5967,36.8344,37.0558,37.2875,37.5512,37.8597,38.2153,38.61,39.0293,39.4577,39.8828,40.2967,40.6942,41.0696,41.4157,41.7241,41.9862,42.1965,42.3526,42.4547,42.5032,42.495,42.4226,42.2734,42.0331,41.6901,41.2392,40.6825,40.028,39.286,38.4662,37.5754,36.618,35.5972,34.5174,33.3854,32.2106,31.0042,29.777,28.5381,27.294,26.0488,24.8059,23.5691,22.3443,21.1408,19.9704,18.8462,17.7817,16.7886,15.8759,15.0489,14.3087,13.652,13.0715,12.5562,12.0927,11.6662,11.2615,10.865,10.4654,10.0545,9.6284,9.1874,8.7368,8.287,7.8533,HOA68,R,Marche04,Cycle_1
8.3057,7.8626,7.4591,7.1135,6.8475,6.6854,6.6525,6.773,7.0676,7.5513,8.2308,9.1043,10.1615,11.385,12.7524,14.2382,15.8156,17.4576,19.1385,20.834,22.5225,24.1853,25.807,27.3752,28.8794,30.3101,31.6572,32.9094,34.0537,35.0771,35.9676,36.7179,37.3267,37.8012,38.1568,38.4162,38.6071,38.7592,38.9007,39.0552,39.2383,39.4554,39.7011,39.9623,40.2231,40.4695,40.6922,40.8859,41.0472,41.1719,41.2553,41.2931,41.2832,41.2271,41.129,40.995,40.8293,40.6327,40.4011,40.1272,39.8033,39.4244,38.9901,38.5043,37.9724,37.3983,36.7821,36.119,35.4008,34.6186,33.7657,32.8399,31.8451,30.7905,29.6891,28.5554,27.4039,26.2478,25.0994,23.9715,22.8783,21.8364,20.862,19.9665,19.1508,18.4139,17.7573,17.2543,16.8591,15.9756,15.1662,14.3744,13.6114,12.8726,12.1578,11.4672,10.8021,10.1656,9.5631,9.0029,8.4961,HOA68,R,Marche05,Cycle_1
7.9492,7.6041,7.3366,7.161,7.0912,7.1403,7.3202,7.6402,8.1075,8.7259,9.4961,10.4152,11.4767,12.6704,13.9829,15.3978,16.8962,18.4575,20.0599,21.6812,23.2997,24.8944,26.4459,27.9368,29.3523,30.6802,31.9115,33.0404,34.0639,34.9823,35.7983,36.5168,37.1441,37.6877,38.1557,38.5563,38.8976,39.1874,39.4329,39.6411,39.8183,39.9703,40.1023,40.2187,40.3232,40.418,40.5044,40.5818,40.6483,40.7004,40.7334,40.7419,40.7199,40.6611,40.56,40.4114,40.2109,39.955,39.6408,39.2661,38.8293,38.329,37.7643,37.135,36.4412,35.6844,34.8674,33.9949,33.0736,32.113,31.1244,30.1203,29.1137,28.1156,27.1337,26.1738,25.2422,24.356,23.5459,22.8783,22.3703,22.2201,21.8082,20.6593,19.7124,18.7834,17.9185,17.0998,16.3232,15.5793,14.8597,14.1568,13.4689,12.789,12.1458,11.4736,10.5732,10.4432,10.1496,9.962,10.0698,HOA68,R,Marche06,Cycle_1
9.1033,8.7383,8.4042,8.1173,7.8966,7.7629,7.7381,7.8445,8.1027,8.5301,9.1385,9.9331,10.9108,12.061,13.3662,14.803,16.3443,17.9605,19.621,21.2966,22.9601,24.5889,26.1652,27.6766,29.1151,30.4758,31.7547,32.947,34.0459,35.0431,35.9297,36.6988,37.3473,37.8776,38.2985,38.6243,38.874,39.0676,39.2244,39.3589,39.4794,39.5878,39.6821,39.7592,39.8174,39.857,39.8794,39.8857,39.8764,39.8522,39.8157,39.7717,39.7268,39.6864,39.6514,39.615,39.5616,39.4689,39.313,39.0742,38.7409,38.3118,37.7934,37.197,36.5344,35.8145,35.0424,34.2192,33.3444,32.4175,31.4402,30.4169,29.3551,28.264,27.1539,26.0359,24.9207,23.8188,22.7407,21.6966,20.6957,19.7464,18.8549,18.025,17.2578,16.5515,15.9016,15.3021,14.7457,14.225,13.7329,13.263,12.8099,12.3688,11.9355,11.5063,11.0783,10.6497,10.2208,9.7948,9.3786,HOA68,R,Marche07,Cycle_1
8.6364,8.1618,7.7442,7.4049,7.1674,7.0555,7.092,7.2964,7.6828,8.2582,9.0221,9.9668,11.0784,12.3389,13.7274,15.2216,16.7984,18.434,20.104,21.7846,23.4527,25.0871,26.6693,28.1845,29.6209,30.9697,32.2236,33.3761,34.4204,35.3496,36.1571,36.8389,37.3948,37.8305,38.158,38.3966,38.5709,38.7086,38.837,38.979,39.1485,39.3496,39.5775,39.822,40.0722,40.3182,40.5507,40.7597,40.9343,41.0646,41.144,41.1719,41.154,41.0994,41.0161,40.906,40.7625,40.571,40.3135,39.9749,39.5477,39.0328,38.4381,37.7743,37.0513,36.2763,35.4534,34.5849,33.6725,32.7188,31.7278,30.7045,29.654,28.581,27.4894,26.3829,25.2656,24.143,23.0222,21.912,20.8226,19.7646,18.7484,17.783,16.8755,16.0303,15.2493,14.5316,13.8743,13.2723,12.7191,12.207,11.7276,11.2728,10.8352,10.409,9.9896,9.5746,9.1627,8.7552,8.3554,HOA68,R,Marche08,Cycle_1
9.6484,9.1002,8.5822,8.1144,7.7207,7.4278,7.2638,7.2559,7.4279,7.7976,8.3748,9.1599,10.1439,11.3096,12.6331,14.0862,15.6382,17.2574,18.9126,20.5739,22.2144,23.8118,25.3492,26.8163,28.209,29.5278,30.7763,31.9581,33.0758,34.1282,35.1105,36.0136,36.8257,37.5348,38.1317,38.6126,38.982,39.2521,39.4418,39.5733,39.6681,39.7434,39.8099,39.873,39.934,39.9919,40.0448,40.0885,40.1176,40.1255,40.1067,40.0587,39.983,39.8844,39.7686,39.6382,39.4899,39.3138,39.095,38.8181,38.4714,38.0506,37.558,37.0004,36.386,35.7212,35.0094,34.2509,33.4449,32.5907,31.6894,30.745,29.7641,28.7555,27.7288,26.6935,25.6584,24.6314,23.6189,22.6266,21.6594,20.7223,19.8194,18.955,18.1326,17.3552,16.6256,15.9464,15.3208,14.7507,14.2337,13.7575,13.2949,12.8151,12.3018,11.8322,11.4431,10.821,10.244,9.6973,9.1993,HOA68,R,Marche09,Cycle_1
8.9861,8.4801,8.0324,7.6695,7.4195,7.3106,7.3681,7.6121,8.0557,8.7034,9.5512,10.5879,11.7962,13.1545,14.6382,16.2202,17.8721,19.5639,21.2662,22.951,24.594,26.176,27.6835,29.1091,30.4499,31.7062,32.8791,33.9694,34.9754,35.8937,36.7193,37.447,38.0736,38.5995,39.0295,39.3734,39.6455,39.8625,40.0415,40.1976,40.3415,40.4785,40.6098,40.734,40.8498,40.9561,41.0521,41.1354,41.2015,41.2438,41.2552,41.2306,41.168,41.0693,40.9381,40.7773,40.5862,40.3589,40.0863,39.7584,39.3687,38.9156,38.402,37.833,37.2128,36.5423,35.8184,35.0353,34.1868,33.2688,32.2816,31.2304,30.1247,28.9767,27.7995,26.6054,25.4047,24.2065,23.0181,21.8463,20.6976,19.5791,18.4986,17.4657,16.4922,15.5914,14.7762,14.0551,13.4281,12.8843,12.4038,11.9623,11.5368,11.1094,10.6688,10.2095,9.731,9.2362,8.7306,8.2216,7.7187,HOA68,R,Marche10,Cycle_1
